City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
552,Wasilla,US,53.85,few clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
560,Rorvik,NO,50.31,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik AS
562,Navahrudak,BY,44.17,overcast clouds,53.6,25.8333,Hotel Grazhina
565,Umkomaas,ZA,59.68,broken clouds,-30.2067,30.7978,Umkomaas Guest House
566,Belomorsk,RU,43.2,overcast clouds,64.5232,34.7668,Khostel Belomorsk
585,Petukhovo,RU,42.1,overcast clouds,55.0692,67.9019,Гостиница
587,Tornio,FI,43.18,overcast clouds,65.8481,24.1466,Park Hotel Tornio
588,Cradock,ZA,42.67,clear sky,-32.1642,25.6192,Die Hoekhuis
604,College,US,54.28,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
610,Schwanewede,DE,53.19,clear sky,53.2333,8.6,Hotel Zur Heidquelle
613,Tieli,CN,54.5,overcast clouds,46.95,128.05,Dynasty Hotel
616,New Plymouth,NZ,50.05,clear sky,-39.0667,174.0833,Belt Road Seaside Holiday Park
618,Sudogda,RU,40.14,overcast clouds,55.9539,40.8629,Барский луг
626,Dossor,KZ,50.7,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
644,Hlukhiv,UA,49.37,overcast clouds,51.6782,33.9162,"ЗАМІСЬКИЙ ОЗДОРОВЧИЙ ДИТЯЧО-ЮНАЦЬКИЙ ТАБІР ""СОНЯЧНИЙ"""
647,De-Kastri,RU,57.72,light rain,51.4667,140.7833,Somon Hotel
654,Olafsvik,IS,45.57,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
657,Ornskoldsvik,SE,41.11,broken clouds,63.2909,18.7153,ファーストホテル スタット
659,Kem,RU,43.93,overcast clouds,64.9555,34.5793,"Mini-hotel ""Kem"""
666,Lohja,FI,46.26,overcast clouds,60.2486,24.0653,Koivulan Kartano
671,Prince George,CA,47.25,light rain,53.9166,-122.753,Canadas Best Value Inn Prince George
680,Vila,PT,53.33,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
682,Zhangjiakou,CN,59.34,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
684,Prieska,ZA,49.35,clear sky,-29.6641,22.7474,Avenue GuestHouse
685,Viedma,AR,57.29,clear sky,-40.8135,-62.9967,Hotel Cristal
