City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
127,Salalah,OM,2021-09-17 21:47:05,17.0151,54.0924,79.83,88,71,4.27,broken clouds
128,Amapa,BR,2021-09-17 21:48:23,1.0,-52.0,76.84,78,79,3.31,broken clouds
129,Katsuura,JP,2021-09-17 21:48:24,35.1333,140.3,77.74,81,100,23.49,overcast clouds
130,Saint-Philippe,RE,2021-09-17 21:38:57,-21.3585,55.7679,68.22,76,4,5.08,clear sky
131,Saint-Joseph,RE,2021-09-17 21:48:24,-21.3667,55.6167,67.21,76,5,4.25,clear sky
132,Port Augusta,AU,2021-09-17 21:48:25,-32.5,137.7667,53.71,68,2,6.06,clear sky
133,Zemen,BG,2021-09-17 21:45:00,42.4789,22.7492,66.07,63,72,3.47,broken clouds
134,Haines Junction,CA,2021-09-17 21:48:25,60.7522,-137.5108,45.73,74,100,2.73,overcast clouds
135,Okha,RU,2021-09-17 21:48:26,53.5739,142.9478,56.64,80,100,17.25,light rain
136,Key West,US,2021-09-17 21:48:26,24.5557,-81.7826,89.01,64,14,2.62,few clouds
137,Bennettsville,US,2021-09-17 21:48:26,34.6174,-79.6848,87.33,65,100,7.14,overcast clouds
138,Caravelas,BR,2021-09-17 21:48:27,-17.7125,-39.2481,70.29,69,0,6.08,clear sky
139,Tessalit,ML,2021-09-17 21:48:27,20.1986,1.0114,93.25,15,4,2.8,clear sky
140,New Norfolk,AU,2021-09-17 21:39:00,-42.7826,147.0587,52.92,86,71,1.01,broken clouds
141,Mount Gambier,AU,2021-09-17 21:44:39,-37.8333,140.7667,47.48,82,68,16.58,light rain
142,Calabar,NG,2021-09-17 21:48:28,4.9517,8.322,73.85,97,99,2.64,overcast clouds
143,Ribeira Grande,PT,2021-09-17 21:48:28,38.5167,-28.7,70.34,78,96,6.51,overcast clouds
144,Inyonga,TZ,2021-09-17 21:48:28,-6.7167,32.0667,77.5,46,97,2.8,overcast clouds
145,Kalakamati,BW,2021-09-17 21:48:29,-20.5929,27.3121,57.07,82,11,16.49,few clouds
146,Bilibino,RU,2021-09-17 21:48:29,68.0546,166.4372,39.31,70,100,3.38,overcast clouds
